app_id,min_storage,rec_storage
12600,2.5,-1
12640,6.0,10.0
12650,0.5,-1
12660,0.6,-1
12670,1.2,-1
12690,1.0,-1
12710,4.5,-1
12810,5.0,-1
12900,-1,-1
13000,0.25,-1
13140,5.0,5.0
13500,1.5,-1
13520,4.0,-1
13530,1.5,-1
13540,7.0,-1
13560,1.5,2.1
13570,4.0,-1
13580,8.0,-1
13600,1.5,-1
13620,2.0,-1
13630,2.0,-1
15000,7.0,-1
15080,1.5,-1
15100,8.0,-1
15120,7.0,-1
15130,2.2,-1
15160,6.0,-1
15170,-1,-1
15190,5.0,-1
15200,6.0,-1
15210,1.5,-1
15240,6.0,-1
15270,2.2,-1
15300,1.0,-1
15320,-1,-1
15350,0.07,-1
15370,3.0,3.0
15380,-1,-1
15390,8.0,-1
15400,0.18,-1
15500,0.22,-1
15520,-1,-1
15560,2.0,-1
15620,8.0,8.0
15700,0.7000000000000001,-1
15710,0.7000000000000001,-1
15740,3.8,-1
15750,4.0,-1
15800,0.12,-1
15900,0.065,-1
15910,0.02,-1
15920,0.025,-1
15930,0.06,-1
15960,0.167,-1
15970,0.02,-1
16000,0.167,-1
16020,-1,-1
16030,0.1,-1
16040,0.2,-1
16060,-1,-1
16100,0.2,-1
16110,0.2,-1
16120,0.2,-1
16130,0.2,-1
16180,0.05,-1
16200,0.05,-1
16300,0.036000000000000004,-1
16450,12.0,12.0
16500,0.03,-1
16600,0.22,-1
16620,0.25,-1
16710,0.6,-1
16720,5.0,5.0
16730,10.0,10.0
16810,1.0,-1
17020,15.0,-1
17080,10.0,-1
17100,1.1,-1
17120,-1,-1
17140,0.35000000000000003,-1
17180,0.35000000000000003,-1
17330,15.0,-1
17390,4.0,-1
17410,8.0,-1
17440,0.15,-1
17460,12.0,-1
17470,7.5,-1
17480,10.0,-1
17500,8.0,-1
17570,10.0,10.0
17580,-1,-1
17710,6.0,-1
17740,8.0,-1
18000,0.35000000000000003,-1
18020,0.35000000000000003,-1
18040,2.0,-1
18050,2.0,-1
18070,2.0,1.5
18110,1.5,1.5
18120,2.0,-1
18300,1.0,-1
18400,0.5,-1
18420,0.06,-1
18430,0.1,-1
18470,4.0,-1
18480,2.0,-1
18500,1.0,1.0
18600,0.04,-1
18700,0.06,-1
18820,0.5,-1
19000,10.0,-1
19020,8.0,-1
19030,0.8,0.8
19080,0.035,-1
19200,0.25,-1
19320,0.3,-1
19500,0.05,-1
19680,8.5,-1
19800,3.5,-1
19810,1.0,-1
19830,3.0,-1
19900,3.5,-1
19980,9.0,-1
20200,2.0,-1
20500,15.0,15.0
20510,6.0,10.0
20530,-1,-1
20540,-1,-1
20550,-1,-1
20570,8.0,8.0
20700,0.1,-1
20710,0.12,-1
20820,0.25,-1
20900,14.25,14.25
20920,25.0,25.0
21000,-1,-1
21010,2.0,-1
21030,2.0,-1
21090,17.0,-1
21100,4.4,10.0
21130,-1,-1
21300,0.03,-1
21400,0.4,-1
21500,4.0,-1
21660,4.5,4.5
21670,8.0,-1
21680,0.65,-1
21690,15.0,15.0
21780,4.8,4.8
21800,10.0,10.0
21980,4.0,-1
22000,-1,-1
22100,0.7000000000000001,-1
22120,2.0,-1
22130,0.6,-1
22180,2.0,-1
22200,3.0,3.0
22230,1.2,-1
22300,7.0,7.0
22310,-1,-1
22320,1.0,-1
22330,4.6,-1
22340,2.0,-1
22350,8.0,8.0
22370,7.0,7.0
22380,10.0,-1
22500,0.05,-1
22600,3.0,-1
22610,1.5,-1
22650,1.5,-1
22670,2.0,-1
23150,0.1,-1
23300,0.065,-1
23310,15.0,15.0
23380,0.17,-1
23400,2.0,-1
23420,-1,-1
23450,4.0,-1
23455,4.0,-1
23460,2.0,-1
23490,5.0,-1
23500,0.3,-1
23530,6.0,6.0
23600,0.15,-1
23700,0.5,-1
24010,40.0,40.0
24200,30.0,-1
24240,-1,-1
24400,8.0,-1
24410,3.3,3.3
24420,0.225,-1
24460,8.0,8.0
24480,16.0,16.0
24640,2.0,-1
24650,2.0,-1
