app_id,min_storage,rec_storage
1745040,0.25,-1.0
1745050,4.0,4.0
1745120,-1.0,-1.0
1745140,0.512,0.512
1745160,1.0,1.0
1745170,1.0,-1.0
1745200,2.0,-1.0
1745210,10.0,10.0
1745220,0.4,-1.0
1745230,-1.0,-1.0
1745240,1.0,-1.0
1745260,1.0,1.0
1745280,2.0,2.0
1745310,2.0,4.0
1745340,0.5,-1.0
1745360,1.0,-1.0
1745370,0.5,0.5
1745380,1.0,-1.0
1745410,0.06,0.1
1745430,1.0,-1.0
1745480,6.0,6.0
1745510,0.8,-1.0
1745520,0.3,-1.0
1745530,0.5,-1.0
1745550,-1.0,-1.0
1745560,0.6,0.6
1745620,0.9,-1.0
1745640,0.25,0.25
1745650,0.6,-1.0
1745680,1.0,1.0
1745690,1.0,-1.0
1745700,0.4,-1.0
1745710,0.2,-1.0
1745740,0.4,0.4
1745750,0.4,0.4
1745780,4.0,4.0
1745790,1.0,-1.0
1745800,0.2,-1.0
1745820,-1.0,-1.0
1745840,-1.0,-1.0
1745880,0.256,-1.0
1745960,4.0,-1.0
1745980,-1.0,-1.0
1745990,5.0,5.0
1746030,8.0,-1.0
1746080,1.0,1.0
1746120,0.35,0.512
1746130,1.0,1.0
1746140,0.15,0.15
1746150,-1.0,-1.0
1746210,0.512,-1.0
1746230,7.0,7.0
1746280,0.01,0.01
1746290,-1.0,-1.0
1746320,-1.0,-1.0
1746330,-1.0,-1.0
1746340,0.864,-1.0
1746370,0.3,-1.0
1746400,5.0,5.0
1746420,-1.0,-1.0
1746500,-1.0,-1.0
1746520,2.0,-1.0
1746530,0.5,-1.0
1746540,1.0,2.0
1746560,-1.0,-1.0
1746590,2.0,2.0
1746620,1.0,-1.0
1746630,0.35,0.5
1746640,2.0,-1.0
1746650,3.0,3.0
1746660,0.3,-1.0
1746700,1.0,-1.0
1746730,0.12,-1.0
1746760,0.4,0.8
1746770,0.2,-1.0
1746780,6.0,-1.0
1746820,9.0,9.0
1746830,0.641,0.641
1746870,2.0,4.0
1746890,15.0,-1.0
1746920,0.4,-1.0
1746930,-1.0,-1.0
1746970,0.3,0.3
1747030,5.0,5.0
1747050,2.0,-1.0
1747080,8.0,8.0
1747110,0.4,1.0
1747150,0.015,-1.0
1747160,6.0,6.0
1747210,2.0,2.0
1747220,1.0,1.0
1747300,1.5,-1.0
1747310,-1.0,-1.0
1747330,1.0,-1.0
1747340,0.1,-1.0
1747370,458.0,458.0
1747430,1.0,1.0
1747440,0.12,-1.0
1747450,4.0,4.0
1747490,0.12,-1.0
1747500,2.0,-1.0
1747510,-1.0,-1.0
1747520,0.15,-1.0
1747560,-1.0,-1.0
1747570,1.0,1.0
1747580,2.0,4.0
1747590,2.0,2.0
1747650,7.0,-1.0
1747670,0.357,-1.0
1747680,2.0,-1.0
1747690,2.0,-1.0
1747750,-1.0,-1.0
1747760,1.5,-1.0
1747770,-1.0,-1.0
1747790,2.2,2.2
1747800,0.35,0.35
1747830,1.0,1.0
1747840,20.0,-1.0
1747850,0.18,0.16
1747880,-1.0,-1.0
1747900,8.0,-1.0
1747940,0.3,-1.0
1747980,0.5,-1.0
1748020,0.26,-1.0
1748050,0.512,1.0
1748070,0.015,-1.0
1748090,0.001,0.001
1748100,2.0,2.0
1748160,1.0,-1.0
1748170,4.0,-1.0
1748210,0.34,-1.0
1748220,-1.0,-1.0
1748230,0.6,0.6
1748240,0.5,-1.0
1748260,0.35,0.5
1748290,1.0,-1.0
1748300,1.0,-1.0
1748310,0.25,-1.0
1748330,0.2,0.2
1748340,60.0,100.0
1748370,0.8,-1.0
1748390,0.3,-1.0
1748400,0.05,-1.0
1748490,0.015,-1.0
1748600,-1.0,-1.0
1748610,1.0,1.0
1748620,1.0,-1.0
1748640,-1.0,-1.0
1748660,5.0,5.0
1748740,2.0,2.0
1748750,4.0,-1.0
1748790,-1.0,-1.0
1748840,-1.0,-1.0
1748890,2.0,2.0
1748900,2.0,-1.0
1748910,2.0,2.0
1748930,2.0,5.0
1748970,-1.0,-1.0
1748980,0.4,-1.0
1749010,1.0,-1.0
1749020,0.75,-1.0
1749030,0.3,-1.0
1749090,0.5,1.0
1749120,5.0,5.0
1749130,-1.0,-1.0
1749160,-1.0,-1.0
1749170,7.0,7.0
1749200,6.0,-1.0
1749210,0.133,-1.0
1749220,-1.0,-1.0
1749260,0.523,-1.0
1749300,2.0,-1.0
1749310,0.1,-1.0
1749350,0.7000000000000001,-1.0
1749360,2.0,2.0
1749380,0.4,-1.0
1749410,19.0,19.0
1749420,0.428,0.428
1749430,1.0,1.0
1749460,0.25,-1.0
1749480,25.0,35.0
1749630,0.5,1.0
1749670,-1.0,-1.0
1749710,0.034,-1.0
1749720,0.636,-1.0
1749750,6.0,6.0
1749770,4.0,-1.0
1749800,5.0,5.0
1749840,4.0,4.0
1749860,25.0,25.0
1749940,-1.0,-1.0
1749980,15.0,15.0
1750000,0.3,0.3
1750030,25.0,25.0
1750060,0.3,-1.0
1750070,0.5,-1.0
1750090,-1.0,-1.0
